$insert_id,distinct_id,time,event,colorTheme,luckyNumber
8c19b5af46f3e90b1ed0cd56f505758bff506b2a,7e1dd089-8773-5fc9-a3bc-37ba5f186ffe,2024-06-04 04:39:22,link_click,indigo,42
3c631434f1db5b0e1a1aa0718f059749d3c19314,7e1dd089-8773-5fc9-a3bc-37ba5f186ffe,2024-05-20 10:51:50,watch_video,green,3
f53c6e7a36a00b6725e9cd578d516965bb2818f8,7e1dd089-8773-5fc9-a3bc-37ba5f186ffe,2024-05-23 10:08:48,page_view,indigo,42
1e1ccfefee2479a60ddeedf856366e7e6afb682c,274fb591-d53e-59cc-8cf0-5ad05197d384,2024-05-29 01:26:53,link_click,blue,89
92f002faafd20d65ecb46b9caedfdc882ee259aa,274fb591-d53e-59cc-8cf0-5ad05197d384,2024-06-11 10:03:53,watch_video,indigo,89
b9fad1989665c7a80aab705460d5531a86069593,f4141b18-5516-5e36-bfec-75b27a6c9a55,2024-05-11 09:09:32,watch_video,blue,73
9dd105eda6ef03653bed981682c771749e2b11e4,e6030963-d08b-5ee3-ba22-92fb186adadd,2024-05-24 04:54:49,watch_video,orange,11
bdc7db0e2b57f85e6875996c5252479ce1f25354,5d816dc1-1d4a-50fd-853f-362a31bda9ef,2024-06-10 09:50:53,page_view,red,73
aa4e27c7b17627728d343c0c069808d896e8a6ff,5d816dc1-1d4a-50fd-853f-362a31bda9ef,2024-05-07 12:35:25,watch_video,indigo,71
9709c28da76c9bb27bfe174a4c9359dc72fe201b,5d816dc1-1d4a-50fd-853f-362a31bda9ef,2024-05-31 02:14:11,page_view,green,61
df054427f4cabf139cbc0a12dc3dae93dd79e251,5d816dc1-1d4a-50fd-853f-362a31bda9ef,2024-06-09 03:43:46,page_view,red,89
09d0391eae48c440641bbdff0b19ee9c7789ed64,5d816dc1-1d4a-50fd-853f-362a31bda9ef,2024-05-26 06:42:24,log_in,indigo,83
07084dba745b5b3cf35b0cd0487196ccaf094040,5d816dc1-1d4a-50fd-853f-362a31bda9ef,2024-05-17 10:42:04,link_click,indigo,41
2e8abfe243e19a5a3cd8bcf0fd8745666fe05f74,5d816dc1-1d4a-50fd-853f-362a31bda9ef,2024-06-02 08:23:37,watch_video,blue,97
cc8d425a7fe6ae757ff3cf971eb5daec2c8befce,2cf23817-dfa9-506d-892b-0a771147b5b9,2024-05-28 02:33:02,watch_video,blue,42
8d865f7d7e6171e3866a1bccdf8437db5f2d04e9,709a878f-1a5a-55d4-902a-93700a9af939,2024-06-02 10:42:56,watch_video,orange,73
4fd8602c7d91e3005f0dcefb12416a3f1db3466c,709a878f-1a5a-55d4-902a-93700a9af939,2024-05-22 04:36:02,page_view,violet,43
6490932670eae598b26fcfccedf1f18649686f4d,709a878f-1a5a-55d4-902a-93700a9af939,2024-05-29 05:29:57,link_click,blue,3
092cd87ecc7ebb05276cc26df1af3c75bd902f3d,709a878f-1a5a-55d4-902a-93700a9af939,2024-05-10 03:50:58,watch_video,blue,5
546509b0c771adb4640fa1dbe240c00619365dd9,709a878f-1a5a-55d4-902a-93700a9af939,2024-05-27 05:56:46,link_click,indigo,83
2edfe252af750614c06edf8a8365e1cfa615474a,a1e02d3d-778b-5816-a08b-1bc7a044c5fe,2024-06-08 07:07:29,log_in,red,83
f65bda0a18d85940eae19070120dbf299745d7fb,16750888-1f45-55d1-9faa-62609cf53d93,2024-05-06 07:45:57,button_click,violet,13
5e3a4d91baae7486c79251ad21cf96d3192e63d9,16750888-1f45-55d1-9faa-62609cf53d93,2024-06-06 03:29:37,page_view,blue,29
f9404ad6a285b340834f4177174a325a2a396a0f,ecc31131-c9ac-5efa-9270-d9bf878b66d1,2024-06-10 02:38:31,watch_video,blue,5
74e834dae9ff9441addac47abfd1ac3bf3e1f6b5,ecc31131-c9ac-5efa-9270-d9bf878b66d1,2024-05-30 05:20:53,watch_video,blue,41
f9033051806d044988e1e980396261995c9f3871,ecc31131-c9ac-5efa-9270-d9bf878b66d1,2024-05-31 04:51:55,page_view,green,42
23051d8562b9eeb6068cadfe8089f19f02e2b29e,7f3d997a-8c37-56e0-8058-55f89de44ab8,2024-05-25 05:40:34,button_click,indigo,89
1d8ddbbf26dbb20f2b07086d9d81fdcc0b1a7fb6,7f3d997a-8c37-56e0-8058-55f89de44ab8,2024-05-29 06:05:42,log_in,green,5
97f8a9792d061f3dd8c24c7c07225a50eb198d3f,4d47fab8-2037-5ec1-8eae-66019b9686b6,2024-05-24 08:27:59,log_in,orange,67
511cdd349da48c6c1a461db23ea5970e502e5f06,dcd18860-618c-5673-bce3-f673dfcfeb33,2024-06-07 06:58:29,link_click,red,29
63ac733f434e8025956ffe36b782354d7f58e9b0,dcd18860-618c-5673-bce3-f673dfcfeb33,2024-06-08 03:26:48,watch_video,blue,79
34d1129c03a93fa0d0c1a603f160911fe7458090,195f743a-4a13-591a-a854-984a17841fff,2024-05-13 12:37:21,log_in,orange,47
7036d4d5070cac6734b92a03b8e8685f403263d0,996890c2-2108-5009-8d21-79e98db5ca53,2024-05-29 09:19:41,log_in,indigo,83
5f1ceb17a5825aabc5f7255417cae01b02ebec18,3b03ccbe-7cb4-5d82-ac54-f97633e0ffd1,2024-05-11 07:48:31,page_view,blue,42
8a704555bcf8e68e4f7d8995b549595e93e6f1be,f805ff33-1ff7-54d3-8eab-96064cba0ae6,2024-06-11 02:05:01,page_view,yellow,67
3d4f8b5beed9adc8612ed100c35eb83d7a6b90ff,f805ff33-1ff7-54d3-8eab-96064cba0ae6,2024-06-09 10:45:12,page_view,indigo,42
a3f232612b90621ca7456990544afc47969048fc,b1391394-cb4d-5f7e-a99e-03a1d2ecb208,2024-05-31 01:41:24,page_view,yellow,61
bb356ce7f2b67d6526e86a454e43149eb043dfcc,6e401518-4509-5c71-900a-0bec7e8c933e,2024-06-11 02:09:32,watch_video,green,41
05da0b7c991162c4a990949e409781a7804ce454,6e401518-4509-5c71-900a-0bec7e8c933e,2024-05-10 12:55:43,page_view,violet,42
dd50b735097a6ca4606c2bd2e3a85bb1b0b24624,6e401518-4509-5c71-900a-0bec7e8c933e,2024-05-21 04:15:57,page_view,green,7
6e9aab29d5139d66636b2925dde40ecf2077090c,6e401518-4509-5c71-900a-0bec7e8c933e,2024-05-06 03:09:56,page_view,indigo,42
cacefb2291f58d537306f0562fd38c4817f49dca,73269584-a9a3-5c7c-962f-7730b1ed1e6a,2024-05-08 08:35:23,watch_video,blue,31
f231b818f7fb949441fe4bf1b67305085eeec849,73269584-a9a3-5c7c-962f-7730b1ed1e6a,2024-05-27 04:34:46,log_in,orange,67
b757f91c11fd5f781991b8c799923796d7b7f1d2,73269584-a9a3-5c7c-962f-7730b1ed1e6a,2024-05-21 06:51:56,page_view,indigo,89
12ef1a8b3bcff5c745f0975b6b7544cf8392cedb,19a13499-e0d6-5474-a6ac-24cac1c0d937,2024-06-09 09:27:48,page_view,yellow,3
21a1b71730ebe335a21801047d78fa9d7c528ebf,19a13499-e0d6-5474-a6ac-24cac1c0d937,2024-05-30 03:53:04,button_click,green,42
cd16085134bed426aed644deac742555dd432842,df8ce127-47dc-52db-9146-28efdfd508be,2024-06-08 05:11:26,button_click,red,3
730ad1df488e39b9c1f3d6455a5054cc9e43805f,502185b5-6af8-5da3-ad3c-0ff83a0f2793,2024-06-03 10:50:59,link_click,blue,42
10896b6e8bcb0fe324017850ed1f0ad8d86d9617,502185b5-6af8-5da3-ad3c-0ff83a0f2793,2024-06-01 05:20:19,watch_video,indigo,42
edda67b5c1eef6fe1857e241ccb6c7f181fe3202,502185b5-6af8-5da3-ad3c-0ff83a0f2793,2024-06-09 10:13:32,link_click,blue,37
a19304cbed54f450a1a414dc34cba312417018d1,502185b5-6af8-5da3-ad3c-0ff83a0f2793,2024-05-15 09:03:12,watch_video,red,29
e9b3e807d025d1b6ac28d0596b07a539ee3df099,50f4beba-c696-5fd1-9598-523f674e89a4,2024-06-07 06:23:28,page_view,green,53
8e4a64e84eb1ac474b10bd71473f1121f8ea6e3f,bc641c33-ea45-59b4-aacf-723e3a0c3444,2024-06-11 11:16:08,page_view,orange,79
5b99e426a98722dcbad4ec6c6e6c5940fc871a85,ff2e5c6c-7138-5602-aabf-2c9d57317a77,2024-06-06 06:50:22,page_view,yellow,79
d0b827c8a9c7395471e093c42be215bdc6d9571a,ba6f3459-f733-5f47-bec6-4ea74476b622,2024-05-10 08:39:47,button_click,blue,420
e8eeb7b45f73a9d1ab9190c9e04b1be092a42265,ba6f3459-f733-5f47-bec6-4ea74476b622,2024-06-08 05:47:46,page_view,blue,420
7cccc1ff0e3cf035070ff693330f37765933a18d,ba6f3459-f733-5f47-bec6-4ea74476b622,2024-06-06 06:53:07,watch_video,blue,420
944115cb61a6f4be1360fdc9f2a4dcf1d39a1008,c2e90a92-f097-597b-80be-c17c2fa9fd89,2024-05-06 01:57:43,watch_video,yellow,5
e8bff85629c50c44851748c89cd851ef52882164,c2e90a92-f097-597b-80be-c17c2fa9fd89,2024-05-16 06:52:37,page_view,blue,37
832e811729f60070e81f1c63f8620c15ccfedbc3,c2e90a92-f097-597b-80be-c17c2fa9fd89,2024-05-25 03:41:36,page_view,indigo,97
2a6d19016c763cd43c35b9f6a5515e0e4f431812,c051faaa-db72-5acf-bc8a-970fdd9cb670,2024-05-08 08:00:17,page_view,blue,19
25b16b9f8cc8748d19b257913d2ec00c93fbe982,826ab0a4-6aec-5e5b-9141-5b1c81080920,2024-05-25 12:29:00,page_view,violet,42
ec14b533cedcc69d55e7dd9446f1c0a80d97a0d2,100176f5-41e7-5a1d-bbe9-f8d30c14b0cf,2024-05-27 08:14:45,page_view,yellow,89
6ea7b081c6fe9003eabbd16baec98025cbd43957,64174924-7c91-5d93-8c67-aa66adf6cfa7,2024-06-08 04:37:12,watch_video,yellow,42
390c950281e6dbdbb0e2d1dd685a507690622045,64174924-7c91-5d93-8c67-aa66adf6cfa7,2024-06-05 04:37:34,log_in,orange,67
7fce8e45dc6b9c0d97cc86061e9a8f1bae66daa1,380262fd-c894-5872-91d5-ff472d42e2ff,2024-06-04 01:00:52,button_click,red,79
901e738aead9bc9cb1370d971ab84a08a1cbeca9,b3fdc697-a9da-5343-93d2-6633489e56a6,2024-05-12 08:22:30,watch_video,green,42
1dda83b4152a56d175da1a600aa300873085533a,2de46ed4-2dfe-503a-bb02-eece15958907,2024-05-30 02:13:51,log_in,orange,42
14835c5290a405c161334d6214074272765eb275,7d98d8a6-cea8-551d-b624-a9cf1e822aec,2024-05-28 01:47:17,button_click,violet,97
324bb0524673d8c2a7e119c2789f131e60ef5278,56e3fbcf-e851-5a51-8b09-fcb585a2e8c8,2024-05-06 01:34:00,page_view,orange,83
eca27d93735db191cae20ba150ce20f0567fe359,56e3fbcf-e851-5a51-8b09-fcb585a2e8c8,2024-06-02 12:56:01,watch_video,blue,42
ac442f5d330f40730bf777bfdb7080d8cf67d4b9,840cf701-4641-546b-b385-cdf2189408ad,2024-05-17 12:05:38,page_view,violet,42
a2858c1f5ed24c5cf3ff56bb4130263ac3b12b83,840cf701-4641-546b-b385-cdf2189408ad,2024-06-11 04:26:35,watch_video,violet,17
